person_name,person_birthdate,person_deathdate,person_country,person_geo,person_period,person_tags,event_date,person_age_days,age_years,age_months,age_days_rem,age_label,description_fr,category,subcategory,importance,wikipedia_slug
Frédéric Chopin,1810-03-01,1849-10-17,PL,histoire-europe,xixe,musique-opera,1829-08-11,7103,19,5,11,"19 ans, 5 mois et 11 jours",Donne son premier concert public à Vienne — triomphe immédiat,arts,concert,5,Frédéric_Chopin
Frédéric Chopin,1810-03-01,1849-10-17,PL,histoire-europe,xixe,musique-opera,1831-09-11,7864,21,6,11,"21 ans, 6 mois et 11 jours",Arrive à Paris — rencontre Liszt et commence sa vie parisienne,arts,installation,4,Frédéric_Chopin
Frédéric Chopin,1810-03-01,1849-10-17,PL,histoire-europe,xixe,musique-opera,1836-07-01,9619,26,4,1,"26 ans, 4 mois et 1 jour",Rencontre George Sand à Paris — début d'une liaison de 9 ans,arts,rencontre,4,Frédéric_Chopin
Frédéric Chopin,1810-03-01,1849-10-17,PL,histoire-europe,xixe,musique-opera,1849-10-17,14475,39,7,17,"39 ans, 7 mois et 17 jours",Meurt à Paris à 39 ans de tuberculose — funérailles à la Madeleine,arts,mort,5,Frédéric_Chopin
Franz Liszt,1811-10-22,1886-07-31,HU,histoire-europe,xixe,musique-opera,1823-12-01,4423,12,1,9,"12 ans, 1 mois et 9 jours",Donne un concert à Vienne — Beethoven lui-même le félicite,arts,concert,5,Franz_Liszt
Franz Liszt,1811-10-22,1886-07-31,HU,histoire-europe,xixe,musique-opera,1839-01-01,9931,27,2,9,"27 ans, 2 mois et 9 jours",Invente le récital — premier concert solo de l'histoire,arts,invention,5,Franz_Liszt
Franz Liszt,1811-10-22,1886-07-31,HU,histoire-europe,xixe,musique-opera,1848-02-01,13249,36,3,8,"36 ans, 3 mois et 8 jours",Nommé directeur musical de la cour de Weimar,arts,nomination,4,Franz_Liszt
Franz Liszt,1811-10-22,1886-07-31,HU,histoire-europe,xixe,musique-opera,1886-07-31,27311,74,9,9,"74 ans, 9 mois et 9 jours",Meurt à Bayreuth à 74 ans lors du festival Wagner,arts,mort,4,Franz_Liszt
Giuseppe Verdi,1813-10-10,1901-01-27,IT,histoire-europe,xixe,musique-opera,1842-03-09,10377,28,4,28,"28 ans, 4 mois et 28 jours",Nabucco triomphe à la Scala — le Va pensiero devient hymne du Risorgimento,arts,creation,5,Giuseppe_Verdi
Giuseppe Verdi,1813-10-10,1901-01-27,IT,histoire-europe,xixe,musique-opera,1851-03-11,13666,37,4,30,"37 ans, 4 mois et 30 jours",Crée Rigoletto à Venise — chef-d'oeuvre absolu,arts,creation,5,Giuseppe_Verdi
Giuseppe Verdi,1813-10-10,1901-01-27,IT,histoire-europe,xixe,musique-opera,1853-01-19,14344,39,3,8,"39 ans, 3 mois et 8 jours",Crée Il Trovatore et La Traviata la même année,arts,creation,5,Giuseppe_Verdi
Giuseppe Verdi,1813-10-10,1901-01-27,IT,histoire-europe,xixe,musique-opera,1901-01-27,31884,87,3,16,"87 ans, 3 mois et 16 jours",Meurt à Milan à 87 ans — deuil national en Italie,arts,mort,5,Giuseppe_Verdi
Maria Callas,1923-12-02,1977-09-16,GR,histoire-europe,xxe,musique-opera,1947-08-02,8644,23,8,,"23 ans, 8 mois et 0 jour",Débuts à l'Arena de Vérone dans La Gioconda,arts,debut,4,Maria_Callas
Maria Callas,1923-12-02,1977-09-16,GR,histoire-europe,xxe,musique-opera,1954-11-07,11298,30,11,6,"30 ans, 11 mois et 6 jours",Triomphe à la Scala dans Norma — consécration mondiale,arts,concert,5,Maria_Callas
Maria Callas,1923-12-02,1977-09-16,GR,histoire-europe,xxe,musique-opera,1959-11-01,13118,35,11,,"35 ans, 11 mois et 0 jour",Rupture avec Meneghini — liaison avec Onassis,arts,rupture,4,Maria_Callas
Maria Callas,1923-12-02,1977-09-16,GR,histoire-europe,xxe,musique-opera,1977-09-16,19647,53,9,15,"53 ans, 9 mois et 15 jours",Meurt seule à Paris à 53 ans — choc mondial,arts,mort,5,Maria_Callas
Billie Holiday,1915-04-07,1959-07-17,US,histoire-usa,xxe,musique-opera,1933-11-27,6809,18,7,21,"18 ans, 7 mois et 21 jours",Premiers enregistrements avec Benny Goodman à 18 ans,arts,enregistrement,4,Billie_Holiday
Billie Holiday,1915-04-07,1959-07-17,US,histoire-usa,xxe,musique-opera,1939-04-20,8779,24,,13,"24 ans, 0 mois et 13 jours",Enregistre Strange Fruit — hymne contre le racisme,arts,enregistrement,5,Billie_Holiday
Billie Holiday,1915-04-07,1959-07-17,US,histoire-usa,xxe,musique-opera,1947-05-16,11727,32,1,8,"32 ans, 1 mois et 8 jours",Arrêtée pour possession d'héroïne — perd sa licence de cabaret,arts,arrestation,4,Billie_Holiday
Billie Holiday,1915-04-07,1959-07-17,US,histoire-usa,xxe,musique-opera,1959-07-17,16172,44,3,9,"44 ans, 3 mois et 9 jours",Meurt à New York à 44 ans — icône du jazz,arts,mort,5,Billie_Holiday
Bob Marley,1945-02-06,1981-05-11,JM,histoire-monde,contemporain,musique-opera,1963-01-01,6539,17,10,25,"17 ans, 10 mois et 25 jours",Fonde les Wailers à Kingston avec Peter Tosh,arts,creation,4,Bob_Marley
Bob Marley,1945-02-06,1981-05-11,JM,histoire-monde,contemporain,musique-opera,1975-07-18,11122,30,5,12,"30 ans, 5 mois et 12 jours",Concert légendaire au Lyceum de Londres — live mythique,arts,concert,5,Bob_Marley
Bob Marley,1945-02-06,1981-05-11,JM,histoire-monde,contemporain,musique-opera,1978-04-22,12131,33,2,17,"33 ans, 2 mois et 17 jours",Concert de la Paix à Kingston — réconcilie deux factions ennemies,arts,concert,5,Bob_Marley
Bob Marley,1945-02-06,1981-05-11,JM,histoire-monde,contemporain,musique-opera,1981-05-11,13246,36,3,5,"36 ans, 3 mois et 5 jours",Meurt d'un cancer à 36 ans — deuil mondial,arts,mort,5,Bob_Marley
John Lennon,1940-10-09,1980-12-08,GB,histoire-monde,contemporain,musique-opera,1960-08-17,7252,19,10,8,"19 ans, 10 mois et 8 jours",Les Beatles jouent à Hambourg — début de leur formation,arts,debut,4,John_Lennon
John Lennon,1940-10-09,1980-12-08,GB,histoire-monde,contemporain,musique-opera,1969-03-20,10389,28,5,9,"28 ans, 5 mois et 9 jours",Épouse Yoko Ono — begin du mouvement peace,arts,mariage,4,John_Lennon
John Lennon,1940-10-09,1980-12-08,GB,histoire-monde,contemporain,musique-opera,1971-10-11,11324,31,,2,"31 ans, 0 mois et 2 jours",Publie Imagine — hymne pacifiste universel,arts,publication,5,John_Lennon
John Lennon,1940-10-09,1980-12-08,GB,histoire-monde,contemporain,musique-opera,1980-12-08,14670,40,1,29,"40 ans, 1 mois et 29 jours",Assassiné devant son appartement à New York à 40 ans,arts,mort,5,John_Lennon
Amy Winehouse,1983-09-14,2011-07-23,GB,histoire-monde,contemporain,musique-opera,2003-10-20,7341,20,1,5,"20 ans, 1 mois et 5 jours",Publie Frank — son premier album remarqué,arts,publication,4,Amy_Winehouse
Amy Winehouse,1983-09-14,2011-07-23,GB,histoire-monde,contemporain,musique-opera,2006-10-27,8444,23,1,13,"23 ans, 1 mois et 13 jours",Publie Back to Black — chef-d'oeuvre du soul-jazz moderne,arts,publication,5,Amy_Winehouse
Amy Winehouse,1983-09-14,2011-07-23,GB,histoire-monde,contemporain,musique-opera,2008-02-10,8913,24,4,25,"24 ans, 4 mois et 25 jours",Remporte 5 Grammy Awards — record pour une artiste britannique,arts,prix,5,Amy_Winehouse
Amy Winehouse,1983-09-14,2011-07-23,GB,histoire-monde,contemporain,musique-opera,2011-07-23,10174,27,10,8,"27 ans, 10 mois et 8 jours",Meurt à Londres à 27 ans — Club des 27,arts,mort,5,Amy_Winehouse
Janis Joplin,1943-01-19,1970-10-04,US,histoire-usa,xxe,musique-opera,1967-06-17,8917,24,4,29,"24 ans, 4 mois et 29 jours",Performance légendaire au festival de Monterey — révélation mondiale,arts,concert,5,Janis_Joplin
Janis Joplin,1943-01-19,1970-10-04,US,histoire-usa,xxe,musique-opera,1969-08-17,9709,26,6,30,"26 ans, 6 mois et 30 jours",Chante au festival de Woodstock — moment historique,arts,concert,5,Janis_Joplin
Janis Joplin,1943-01-19,1970-10-04,US,histoire-usa,xxe,musique-opera,1970-09-25,10113,27,8,8,"27 ans, 8 mois et 8 jours",Enregistre Me and Bobby McGee — son dernier chef-d'oeuvre,arts,enregistrement,4,Janis_Joplin
Janis Joplin,1943-01-19,1970-10-04,US,histoire-usa,xxe,musique-opera,1970-10-04,10122,27,8,17,"27 ans, 8 mois et 17 jours",Meurt d'une overdose à Los Angeles à 27 ans — Club des 27,arts,mort,5,Janis_Joplin
Mick Jagger,1943-07-26,,GB,histoire-monde,contemporain,musique-opera,1962-07-12,6926,18,11,17,"18 ans, 11 mois et 17 jours",Premier concert des Rolling Stones au Marquee Club de Londres,arts,debut,4,Mick_Jagger
Mick Jagger,1943-07-26,,GB,histoire-monde,contemporain,musique-opera,1969-07-05,9476,25,11,10,"25 ans, 11 mois et 10 jours",Concert gratuit à Hyde Park devant 500 000 personnes,arts,concert,5,Mick_Jagger
Mick Jagger,1943-07-26,,GB,histoire-monde,contemporain,musique-opera,1981-10-01,13947,38,2,7,"38 ans, 2 mois et 7 jours",Tournée américaine — la plus rentable de l'histoire du rock à l'époque,arts,tournee,4,Mick_Jagger
Mick Jagger,1943-07-26,,GB,histoire-monde,contemporain,musique-opera,2003-12-12,22054,60,4,17,"60 ans, 4 mois et 17 jours",Fait chevalier par la reine Elisabeth II,arts,distinction,4,Mick_Jagger
John F. Kennedy,1917-05-29,1963-11-22,US,histoire-usa,xxe,politique,1961-01-20,15940,43,7,21,"43 ans, 7 mois et 21 jours",Investi 35e président des États-Unis — plus jeune élu,pouvoir,election,5,John_F._Kennedy
John F. Kennedy,1917-05-29,1963-11-22,US,histoire-usa,xxe,politique,1962-10-22,16582,45,4,24,"45 ans, 4 mois et 24 jours",Gère la crise des missiles de Cuba — frôle la guerre nucléaire,pouvoir,crise,5,John_F._Kennedy
John F. Kennedy,1917-05-29,1963-11-22,US,histoire-usa,xxe,politique,1963-06-11,16814,46,,13,"46 ans, 0 mois et 13 jours",Prononce son discours sur les droits civiques à la télévision,pouvoir,discours,4,John_F._Kennedy
John F. Kennedy,1917-05-29,1963-11-22,US,histoire-usa,xxe,politique,1963-11-22,16978,46,5,24,"46 ans, 5 mois et 24 jours",Assassiné à Dallas — choc mondial,pouvoir,mort,5,John_F._Kennedy
Barack Obama,1961-08-04,,US,histoire-usa,contemporain,politique,2004-07-27,15698,42,11,23,"42 ans, 11 mois et 23 jours",Discours à la convention démocrate — révélation nationale,pouvoir,discours,5,Barack_Obama
Barack Obama,1961-08-04,,US,histoire-usa,contemporain,politique,2008-11-04,17259,47,3,1,"47 ans, 3 mois et 1 jour",Élu premier président noir des États-Unis,pouvoir,election,5,Barack_Obama
Barack Obama,1961-08-04,,US,histoire-usa,contemporain,politique,2009-12-10,17660,48,4,6,"48 ans, 4 mois et 6 jours",Reçoit le Prix Nobel de la Paix,pouvoir,prix,5,Barack_Obama
Barack Obama,1961-08-04,,US,histoire-usa,contemporain,politique,2011-05-02,18168,49,8,27,"49 ans, 8 mois et 27 jours",Annonce la mort d'Oussama Ben Laden,pouvoir,annonce,5,Barack_Obama
Donald Trump,1946-06-14,,US,histoire-usa,contemporain,politique,1971-06-14,9131,24,11,30,"24 ans, 11 mois et 30 jours",Rejoint l'entreprise familiale Trump Organization à 25 ans,economie,debut,3,Donald_Trump
Donald Trump,1946-06-14,,US,histoire-usa,contemporain,politique,1983-11-30,13683,37,5,16,"37 ans, 5 mois et 16 jours",Inaugure la Trump Tower à New York,economie,inauguration,4,Donald_Trump
Donald Trump,1946-06-14,,US,histoire-usa,contemporain,politique,2016-11-08,25715,70,4,26,"70 ans, 4 mois et 26 jours",Élu 45e président des États-Unis — surprise mondiale,pouvoir,election,5,Donald_Trump
Donald Trump,1946-06-14,,US,histoire-usa,contemporain,politique,2021-01-06,27233,74,6,22,"74 ans, 6 mois et 22 jours",Ses partisans envahissent le Capitole à Washington,pouvoir,evenement,5,Donald_Trump
Georges Pompidou,1911-07-05,1974-04-02,FR,histoire-france,xxe,politique,1962-04-14,18546,50,9,10,"50 ans, 9 mois et 10 jours",Nommé Premier ministre par de Gaulle,pouvoir,nomination,4,Georges_Pompidou
